achecker-cert-iad.starbucks.com                         98.99.252.165
achecker-chd.starbucks.com                              98.99.248.166
achecker-iad.starbucks.com                              98.99.252.166
acme-chd.starbucks.com                                  204.238.150.1
acme-iad.starbucks.com                                  98.99.252.55
acme.starbucks.com                                      98.99.252.55
activesync-chd.starbucks.com                            98.99.250.18
activesync.gtm.starbucks.com                            98.99.254.18
activesync-iad2.starbucks.com                           98.99.254.99
activesync-iad3.starbucks.com                           98.99.254.175
activesync-iad.starbucks.com                            98.99.254.18
activesync.starbucks.com                                98.99.254.18
airlock.starbucks.com                                   98.99.254.187
alexa.starbucks.com                                     98.99.254.147
a.mx.a.starbucks.com                                    173.213.0.99
a.mx.b.e.starbucks.com                                  63.232.57.254
a.mx.e.starbucks.com                                    173.213.0.99
a.mx.e.stories.starbucks.com                            173.213.0.99
a.mx.m.e.starbucks.com                                  63.232.57.254
a.ns.a.starbucks.com                                    65.125.54.133
a.ns.e.starbucks.com                                    65.125.54.133
a.ns.e.stories.starbucks.com                            65.125.54.133
api-chd.starbucks.com                                   204.238.150.5
api-iad.starbucks.com                                   98.99.252.56
api.martech.starbucks.com                               52.202.61.199
api.ngsaas.beta.starbucks.com                           34.120.186.48
api.np.playbuilder.starbucks.com                        13.107.246.13
api.playbuilder.starbucks.com                           13.107.246.13
api.starbucks.com                                       98.99.252.56
appcafe-cert-chd.starbucks.com                          98.99.250.170
appcafe-cert.gtm.starbucks.com                          98.99.254.170
appcafe-cert-iad.starbucks.com                          98.99.254.170
appcafe-cert.starbucks.com                              98.99.254.170
appcafe-chd.starbucks.com                               98.99.250.102
appcafe.gtm.starbucks.com                               98.99.254.134
appcafe-iad.starbucks.com                               98.99.254.134
appcafe.starbucks.com                                   98.99.254.134
app.dev.starbucks.com                                   23.203.2.9
app.dev.starbucks.com.br                                23.203.2.9
app.load.starbucks.com                                  98.99.248.70
apps.starbucks.com                                      12.18.141.21
app.starbucks.com                                       23.211.79.7
app.test.starbucks.com                                  23.199.39.201
app.test.starbucks.com.br                               23.199.39.201
archergrc-iad.starbucks.com                             98.99.254.234
archergrc.starbucks.com                                 98.99.254.234
ArcherGRC.starbucks.com                                 98.99.254.234
ariba-asp-ct.starbucks.com                              104.42.40.111
ariba-asp-sd.starbucks.com                              40.78.71.237
ariba-asp.starbucks.com                                 104.42.186.2
ariba-asp-st.starbucks.com                              40.118.168.72
assetshost.starbucks.com                                107.162.135.91
assets.scm.starbucks.com                                98.99.254.230
assets.scmtest.starbucks.com                            98.99.252.195
assets.starbucks.com                                    23.199.48.178
a.starbucks.com                                         63.232.56.43
athome.starbucks.com                                    23.185.0.1
auth-iad.starbucks.com                                  98.99.252.10
autodiscover-iad1.starbucks.com                         98.99.254.69
autodiscover-iad2.starbucks.com                         98.99.254.176
autodiscover.retail.starbucks.com                       52.96.110.8
autodiscover.starbucks.com                              98.99.254.176
avatars.scm.starbucks.com                               98.99.254.230
avatars.scmtest.starbucks.com                           98.99.252.195
avm.starbucks.com                                       13.64.116.30
awapi-cert.starbucks.com                                98.99.253.20
